Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Type,,,,2023-11-22 17:05:06,2023-11-22 17:05:12,6.114s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 17:05:08,2023-11-22 17:05:08,0.260s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 17:05:09,2023-11-22 17:05:09,0.216s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 17:05:10,2023-11-22 17:05:10,0.293s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 17:05:11,2023-11-22 17:05:11,0.220s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 17:05:12,2023-11-22 17:05:12,0.256s,ERROR
