Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_SignUp_Speak,,,,2023-11-23 12:40:51,2023-11-23 12:40:54,2.661s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.038s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.000s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.001s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:40:52,2023-11-23 12:40:52,0.006s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.038s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.005s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.027s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.002s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.004s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.047s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:40:53,2023-11-23 12:40:53,0.005s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.038s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.000s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.004s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:40:54,2023-11-23 12:40:54,0.003s,ERROR
