Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Type,Chrome 119.0.0.0,,,2023-11-27 11:19:56,2023-11-27 11:42:14,22m - 18.014s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 11:19:56,2023-11-27 11:22:02,2m - 5.723s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:19:56,2023-11-27 11:20:05,9.100s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:20:05,2023-11-27 11:20:10,4.603s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:20:10,2023-11-27 11:20:10,0.129s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:20:10,2023-11-27 11:20:10,0.193s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:20:10,2023-11-27 11:21:03,52.693s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:21:03,2023-11-27 11:21:03,0.334s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:21:03,2023-11-27 11:21:04,0.818s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:21:04,2023-11-27 11:21:04,0.070s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:21:04,2023-11-27 11:21:07,2.359s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:21:07,2023-11-27 11:21:52,45.022s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:21:52,2023-11-27 11:21:52,0.350s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:21:52,2023-11-27 11:21:52,0.250s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:21:52,2023-11-27 11:21:53,0.347s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:53,0.003s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:53,0.505s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:53,0.001s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:53,0.244s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:53,0.005s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:21:53,2023-11-27 11:21:54,0.471s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:21:54,2023-11-27 11:21:56,2.526s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:21:56,2023-11-27 11:21:57,0.230s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 11:21:57,2023-11-27 11:21:59,2.012s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 11:21:59,2023-11-27 11:22:02,3.081s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 11:22:02,2023-11-27 11:24:02,2m - 0.104s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 11:22:03,2023-11-27 11:22:10,7.313s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:22:10,2023-11-27 11:22:14,4.205s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:22:14,2023-11-27 11:22:15,0.134s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:22:15,2023-11-27 11:22:15,0.203s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 11:22:15,2023-11-27 11:23:08,52.743s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 11:23:08,2023-11-27 11:23:08,0.156s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 11:23:08,2023-11-27 11:23:09,0.874s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 11:23:09,2023-11-27 11:23:09,0.057s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 11:23:09,2023-11-27 11:23:11,2.372s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 11:23:11,2023-11-27 11:23:56,45.016s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:23:56,2023-11-27 11:23:56,0.140s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 11:23:56,2023-11-27 11:23:56,0.010s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:23:56,2023-11-27 11:23:57,0.354s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:57,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:57,0.185s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 11:23:57,2023-11-27 11:23:57,0.005s,PASSED
