Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Companion_Type,Chrome 119.0.0.0,,,2023-11-27 13:19:22,2023-11-27 13:39:31,20m - 9.397s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC04_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 13:19:22,2023-11-27 13:21:25,2m - 3.221s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 13:19:22,2023-11-27 13:19:31,8.070s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:19:31,2023-11-27 13:19:35,4.431s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:19:35,2023-11-27 13:19:35,0.115s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:19:35,2023-11-27 13:19:35,0.162s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:19:35,2023-11-27 13:20:28,52.625s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:20:28,2023-11-27 13:20:28,0.512s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:20:28,2023-11-27 13:20:29,0.862s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:20:29,2023-11-27 13:20:29,0.070s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 13:20:29,2023-11-27 13:20:32,2.269s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 13:20:32,2023-11-27 13:21:17,45.037s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:21:17,2023-11-27 13:21:17,0.379s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 13:21:17,2023-11-27 13:21:18,0.519s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.427s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.003s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.267s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.118s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 13:21:18,2023-11-27 13:21:18,0.005s,PASSED
